DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"270770 RIO LARGO";2;2;-;-;-;1;-;1;-;-;3;-;1;-;-;1;-;1;-;-;3;1;1;3;-;1;-;5;1;3;-;3;2;35
"270780 ROTEIRO";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"270790 SANTA LUZIA DO NORTE";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"270800 SANTANA DO IPANEMA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;5
"270810 SANTANA DO MUNDAU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;3
"270830 SAO JOSE DA LAJE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"270840 SAO JOSE DA TAPERA";-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270850 SAO LUIS DO QUITUNDE";-;-;-;-;-;-;1;-;-;2;6;6;33;25;9;6;19;20;14;15;9;4;3;-;-;-;-;-;-;-;-;-;-;172
"270860 SAO MIGUEL DOS CAMPOS";1;2;1;1;-;2;4;2;2;3;1;2;3;3;3;2;6;2;4;2;1;1;2;2;2;8;6;19;21;-;-;-;-;108
"270870 SAO MIGUEL DOS MILAGRES";-;-;-;-;1;1;-;2;-;1;1;-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"270890 SATUBA";1;-;-;-;-;1;2;2;-;-;1;-;-;-;-;-;-;2;2;-;-;1;2;1;-;-;-;-;-;1;-;-;-;16
"270895 SENADOR RUI PALMEIRA";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270900 TANQUE D'ARCA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270910 TAQUARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"270915 TEOTONIO VILELA";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;4
"270920 TRAIPU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"270930 UNIAO DOS PALMARES";-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;3;1;1;-;1;2;-;-;-;-;11
"270940 VICOSA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"280020 AQUIDABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"280030 ARACAJU";4;2;3;2;1;1;3;2;1;2;2;1;3;4;4;3;6;6;6;3;8;5;6;3;5;4;4;6;-;-;3;1;1;105
"280060 BARRA DOS COQUEIROS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
"280067 BOQUIM";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;3
"280070 BREJO GRANDE";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"280100 CAMPO DO BRITO";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"280120 CANINDE DE SAO FRANCISCO";-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280130 CAPELA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280150 CARMOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"280160 CEDRO DE SAO JOAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280220 FEIRA NOVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"280240 GARARU";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280280 INDIAROBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"280290 ITABAIANA";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;4
"280300 ITABAIANINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;1;2;-;-;-;-;-;-;7
"280310 ITABI";-;-;-;-;2;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"280330 JAPARATUBA";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"280340 JAPOATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"280350 LAGARTO";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;5
"280430 MURIBECA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280440 NEOPOLIS";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280450 NOSSA SENHORA DA GLORIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"280470 NOSSA SENHORA DE LOURDES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280480 NOSSA SENHORA DO SOCORRO";1;1;1;2;4;2;4;1;-;-;-;-;-;1;1;1;2;2;-;2;6;3;5;-;1;2;-;-;2;1;1;2;-;48
"280540 POCO REDONDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"280570 PROPRIA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4
"280640 SANTANA DO SAO FRANCISCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"280670 SAO CRISTOVAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"280700 SAO MIGUEL DO ALEIXO";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"280720 SIRIRI";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"280740 TOBIAS BARRETO";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"280760 UMBAUBA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"290010 ABAIRA";-;-;1;3;-;2;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"290040 AGUA FRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"290050 ERICO CARDOSO";1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"290070 ALAGOINHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"290090 ALMADINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290100 AMARGOSA";-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"290110 AMELIA RODRIGUES";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290115 AMERICA DOURADA";-;-;-;-;-;1;1;3;3;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"290120 ANAGE";-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"290135 ANDORINHA";-;-;-;-;1;-;-;-;-;-;1;1;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"290140 ANGICAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;-;1;1;-;6
"290150 ANGUERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290170 ANTONIO CARDOSO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"290180 ANTONIO GONCALVES";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290200 ARACATU";-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;8
"290205 ARACAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290210 ARACI";1;-;1;-;-;-;1;1;-;1;2;1;1;-;1;1;-;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;15
"290220 ARAMARI";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290240 AURELINO LEAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290260 BAIXA GRANDE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290280 BARRA DA ESTIVA";-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290290 BARRA DO CHOCA";2;5;9;6;7;6;3;-;-;-;-;-;-;-;1;2;-;1;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;46
"290300 BARRA DO MENDES";-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;7
"290320 BARREIRAS";3;1;4;1;6;6;4;7;5;4;1;2;6;6;-;1;3;2;3;2;2;-;-;-;1;-;-;1;-;-;-;-;-;71
"290323 BARRO ALTO";-;1;3;1;2;2;4;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"290327 BARROCAS";-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;8
"290330 BARRO PRETO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290340 BELMONTE";-;-;-;-;2;-;4;12;11;1;-;1;1;1;1;2;1;3;6;1;1;-;-;3;-;-;-;-;-;-;-;-;-;51
"290350 BELO CAMPO";-;-;1;-;1;4;1;1;4;2;6;2;5;1;4;8;7;5;9;4;6;11;10;10;1;2;2;1;-;-;-;-;-;108
"290370 BOA NOVA";-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290390 BOM JESUS DA LAPA";-;-;-;1;1;4;-;2;-;-;2;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"290410 BOQUIRA";-;-;2;1;-;-;3;3;1;-;-;2;1;-;-;2;6;-;3;-;1;1;2;1;-;-;-;1;-;1;-;-;-;31
"290420 BOTUPORA";-;-;-;-;-;-;-;1;-;1;-;-;1;2;1;1;2;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;13
"290430 BREJOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;-;6
"290440 BREJOLANDIA";-;1;-;-;-;7;-;-;-;-;-;1;1;-;-;-;2;-;2;-;3;1;1;1;2;2;-;-;-;-;-;-;-;24
"290450 BROTAS DE MACAUBAS";3;9;8;13;5;8;2;11;5;1;4;1;-;3;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76
"290460 BRUMADO";1;-;-;-;-;-;1;-;1;1;-;1;2;1;-;-;2;1;-;-;1;1;1;-;-;-;-;1;-;-;-;-;-;15
"290470 BUERAREMA";-;-;-;-;-;-;1;-;-;-;-;1;2;-;3;1;-;-;2;-;2;1;-;1;-;1;1;1;1;-;-;-;-;18
"290480 CAATIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"290485 CABACEIRAS DO PARAGUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290490 CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290500 CACULE";-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290510 CAEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"290515 CAETANOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290520 CAETITE";-;-;2;-;-;4;2;1;12;7;17;12;13;9;7;2;3;5;7;13;5;7;6;1;2;1;-;-;-;1;-;1;-;140
"290530 CAFARNAUM";-;-;-;-;-;-;-;-;-;-;-;2;-;2;3;2;4;2;5;7;2;1;-;-;-;1;-;-;-;-;-;-;-;31
"290560 CAMACAN";-;-;-;-;-;-;-;1;1;-;1;-;2;-;-;-;-;-;1;-;-;2;3;-;-;-;-;-;1;-;-;-;-;12
"290570 CAMACARI";2;-;-;3;3;-;2;5;-;2;1;-;1;-;1;2;-;2;2;1;3;-;-;2;1;-;-;-;6;1;-;-;-;40
"290580 CAMAMU";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;7
"290610 CANAPOLIS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290620 CANARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290630 CANAVIEIRAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290650 CANDEIAS";-;-;-;1;-;-;-;1;-;2;1;1;2;3;2;3;1;2;1;1;3;1;2;5;6;4;7;3;5;5;2;1;-;65
"290660 CANDIBA";1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"290670 CANDIDO SALES";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290680 CANSANCAO";2;-;2;2;6;2;4;10;8;3;3;1;1;3;1;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;52
"290687 CAPIM GROSSO";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;1;-;-;-;1;-;-;-;-;8
"290689 CARAIBAS";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;5
"290690 CARAVELAS";-;-;2;5;4;5;3;1;4;5;2;1;1;1;2;2;2;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;46
"290700 CARDEAL DA SILVA";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"290710 CARINHANHA";2;2;6;3;13;9;8;3;1;2;9;6;5;6;11;-;2;5;2;3;2;5;3;7;5;5;5;3;4;5;2;1;1;146
"290720 CASA NOVA";-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;2;2;4;-;1;16
"290750 CATU";-;-;-;-;-;3;1;-;2;-;-;-;1;-;2;-;1;2;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;16
"290760 CENTRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2
"290770 CHORROCHO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290800 COARACI";2;-;1;3;-;-;-;1;-;1;3;6;7;3;11;3;3;4;6;2;5;3;3;11;5;1;3;2;3;1;-;-;1;94
"290830 CONCEICAO DO ALMEIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290840 CONCEICAO DO COITE";-;-;-;-;-;-;3;-;1;1;2;-;-;7;11;-;-;3;1;-;-;5;3;6;1;-;-;-;-;-;-;-;-;44
"290850 CONCEICAO DO JACUIPE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"290870 CONDEUBA";-;-;-;1;1;14;5;2;1;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;29
"290880 CONTENDAS DO SINCORA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290890 CORACAO DE MARIA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290900 CORDEIROS";-;-;-;-;-;-;1;-;3;-;7;2;5;12;4;5;8;6;4;7;9;7;2;1;-;-;-;-;-;-;-;-;-;83
"290910 CORIBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"290930 CORRENTINA";-;-;-;-;-;4;1;4;-;1;-;2;1;-;-;-;-;-;3;4;2;2;-;-;-;-;-;-;-;-;-;-;-;24
"290940 COTEGIPE";-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"290980 CRUZ DAS ALMAS";-;-;-;1;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"290990 CURACA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291000 DARIO MEIRA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
"291005 DIAS D'AVILA";-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;-;-;1;-;-;1;-;-;-;1;1;1;2;-;-;1;-;13
"291010 DOM BASILIO";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;1;1;1;-;-;-;1;-;1;-;1;-;-;-;-;11
"291040 ENCRUZILHADA";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"291050 ENTRE RIOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"291060 ESPLANADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291070 EUCLIDES DA CUNHA";-;-;1;2;-;-;1;-;1;2;-;-;-;1;4;-;1;-;-;2;2;-;-;-;1;-;-;-;-;-;-;-;-;18
"291072 EUNAPOLIS";1;2;7;-;1;1;5;2;4;13;17;9;15;10;8;2;11;7;10;26;10;10;18;23;7;6;12;16;10;15;17;6;-;301
"291075 FATIMA";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291080 FEIRA DE SANTANA";-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;8
"291085 FILADELFIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;4
"291090 FIRMINO ALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"291100 FLORESTA AZUL";-;-;-;1;1;1;-;-;-;1;3;6;17;33;14;6;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;86
"291110 FORMOSA DO RIO PRETO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"291120 GANDU";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291125 GAVIAO";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291130 GENTIO DO OURO";-;2;2;2;3;3;7;2;1;2;1;-;-;2;2;3;3;7;2;3;2;2;3;4;-;-;1;-;-;-;1;-;-;60
"291150 GONGOGI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291160 GOVERNADOR MANGABEIRA";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"291165 GUAJERU";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291170 GUANAMBI";-;-;-;1;-;1;7;-;-;-;1;1;1;-;1;1;1;1;1;-;1;2;2;1;-;-;-;-;-;-;-;-;-;23
"291180 GUARATINGA";-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;1;1;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;10
"291200 IBIASSUCE";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291210 IBICARAI";-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;2;-;3;5;1;1;1;-;-;-;-;-;-;-;1;1;-;-;18
"291220 IBICOARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291230 IBICUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"291240 IBIPEBA";-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"291250 IBIPITANGA";-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;7
"291270 IBIRAPITANGA";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291280 IBIRAPUA";3;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"291290 IBIRATAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"291300 IBITIARA";-;-;-;-;2;-;-;1;-;-;-;-;1;2;-;-;-;2;1;1;-;-;1;-;-;-;1;-;-;-;-;-;-;12
"291310 IBITITA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291320 IBOTIRAMA";1;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"291340 IGAPORA";-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"291345 IGRAPIUNA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;5
"291350 IGUAI";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;2;1;1;4;-;-;-;1;-;2;-;1;-;-;15
"291360 ILHEUS";44;7;8;5;4;10;16;14;17;32;24;31;30;51;34;23;69;106;93;48;55;64;71;49;18;31;25;29;48;28;20;7;2;1113
"291400 IPIRA";-;2;-;1;2;-;1;-;1;1;-;1;-;2;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
