DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Semana epidem. 1º Sintomas(s)
Período:2025
"Município infecção";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Total"
"140047 RORAINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;1;4;-;1;2;2;1;1;2;1;-;-;-;-;-;-;20
"140050 SAO JOAO DA BALIZA";-;-;1;-;-;1;1;-;-;2;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;9
"140060 SAO LUIZ";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140070 UIRAMUTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150010 ABAETETUBA";4;4;4;4;5;15;10;5;4;4;3;4;3;1;-;1;-;2;3;-;-;1;-;-;-;2;-;-;-;1;3;1;-;84
"150013 ABEL FIGUEIREDO";-;-;-;-;2;1;1;1;1;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"150020 ACARA";-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3;-;-;-;-;9
"150030 AFUA";-;1;-;-;-;-;1;9;7;12;16;1;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;51
"150034 AGUA AZUL DO NORTE";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"150040 ALENQUER";-;-;-;-;1;1;1;1;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150050 ALMEIRIM";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150060 ALTAMIRA";-;-;-;1;6;4;9;13;10;19;13;21;29;6;4;1;-;1;-;-;1;-;-;-;-;-;1;-;1;3;9;3;-;155
"150070 ANAJAS";-;3;1;9;3;2;2;4;1;-;4;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;36
"150080 ANANINDEUA";-;1;-;1;-;3;2;1;2;2;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;18
"150085 ANAPU";6;33;33;18;8;4;2;2;1;-;-;-;-;1;-;-;1;4;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;117
"150090 AUGUSTO CORREA";-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150095 AURORA DO PARA";1;5;1;-;-;3;2;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"150100 AVEIRO";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150120 BAIAO";1;-;-;1;-;2;-;-;2;2;1;1;-;1;1;2;4;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-;22
"150125 BANNACH";-;1;2;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
